logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
22	13	176	104	183	111	#2A3340FF	#2A3340FF	true	0
23	13	184	104	191	111	#00000000	#00000000	true	0
0	14	0	112	7	119	#00000000	#00000000	true	0
1	14	8	112	15	119	#00000000	#00000000	true	0
2	14	16	112	23	119	#00000000	#00000000	true	0
3	14	24	112	31	119	#00000000	#00000000	true	0
4	14	32	112	39	119	#00000000	#00000000	true	0
5	14	40	112	47	119	#00000000	#00000000	true	0
6	14	48	112	55	119	#00000000	#00000000	true	0
7	14	56	112	63	119	#2A3340FF	#2A3340FF	true	0
8	14	64	112	71	119	#2A3340FF	#2A3340FF	true	0
9	14	72	112	79	119	#CDD2D8FF	#CDD2D8FF	true	0
10	14	80	112	87	119	#F4F2E8FF	#F4F2E8FF	true	0
11	14	88	112	95	119	#F4F2E8FF	#F4F2E8FF	true	0
12	14	96	112	103	119	#F4F2E8FF	#F4F2E8FF	true	0
13	14	104	112	111	119	#F4F2E8FF	#F4F2E8FF	true	0
14	14	112	112	119	119	#F4F2E8FF	#F4F2E8FF	true	0
15	14	120	112	127	119	#F4F2E8FF	#F4F2E8FF	true	0
16	14	128	112	135	119	#F4F2E8FF	#F4F2E8FF	true	0
17	14	136	112	143	119	#F4F2E8FF	#F4F2E8FF	true	0
18	14	144	112	151	119	#F4F2E8FF	#F4F2E8FF	true	0
19	14	152	112	159	119	#2A3340FF	#2A3340FF	true	0
20	14	160	112	167	119	#2A3340FF	#2A3340FF	true	0
21	14	168	112	175	119	#00000000	#00000000	true	0
22	14	176	112	183	119	#00000000	#00000000	true	0
23	14	184	112	191	119	#00000000	#00000000	true	0
0	15	0	120	7	127	#00000000	#00000000	true	0
1	15	8	120	15	127	#00000000	#00000000	true	0
2	15	16	120	23	127	#00000000	#00000000	true	0
3	15	24	120	31	127	#00000000	#00000000	true	0
4	15	32	120	39	127	#00000000	#00000000	true	0
5	15	40	120	47	127	#00000000	#00000000	true	0
6	15	48	120	55	127	#00000000	#00000000	true	0
7	15	56	120	63	127	#CDD2D8FF	#CDD2D8FF	true	0
8	15	64	120	71	127	#F4F2E8FF	#F4F2E8FF	true	0
9	15	72	120	79	127	#F4F2E8FF	#F4F2E8FF	true	0
10	15	80	120	87	127	#F4F2E8FF	#F4F2E8FF	true	0
11	15	88	120	95	127	#F4F2E8FF	#F4F2E8FF	true	0
12	15	96	120	103	127	#F4F2E8FF	#F4F2E8FF	true	0
13	15	104	120	111	127	#F4F2E8FF	#F4F2E8FF	true	0
14	15	112	120	119	127	#F4F2E8FF	#F4F2E8FF	true	0
15	15	120	120	127	127	#F4F2E8FF	#F4F2E8FF	true	0
16	15	128	120	135	127	#F4F2E8FF	#F4F2E8FF	true	0
17	15	136	120	143	127	#F4F2E8FF	#F4F2E8FF	true	0
18	15	144	120	151	127	#CDD2D8FF	#CDD2D8FF	true	0
19	15	152	120	159	127	#2A3340FF	#2A3340FF	true	0
20	15	160	120	167	127	#00000000	#00000000	true	0
21	15	168	120	175	127	#00000000	#00000000	true	0
22	15	176	120	183	127	#00000000	#00000000	true	0
23	15	184	120	191	127	#00000000	#00000000	true	0
